# Tools/apidoc_secrets.txt -- GENERATED, do not edit by hand.
#
# Source: the client's own APIDocumentation, exported by
# Tools/APIDump and converted by Tools/apidoc_import.py.
# Regenerate after every content patch.
#
#   H | build | interface | generated
#   F | function            | secret return aspects | structures with secret fields
#   A | function            | secret argument policy | aspects added
#   X | function            | forbidden aspects checked (argument)
#   S | structure | field   | ConditionalSecret,NeverSecret,...
#
# Only F records taint a value in Tools/lint_secret_values.py.
# The rest are recorded so the file stays useful as the linter grows.

H|12.1.0|120100|2026-09-13
A|C_AzeriteEssence.CanActivateEssence|AllowedWhenUntainted|
A|C_AzeriteEssence.CanDeactivateEssence|AllowedWhenUntainted|
A|C_AzeriteEssence.GetEssenceHyperlink|AllowedWhenUntainted|
A|C_AzeriteEssence.GetEssenceInfo|AllowedWhenUntainted|
A|C_AzeriteEssence.GetMilestoneEssence|AllowedWhenUntainted|
A|C_AzeriteEssence.GetMilestoneInfo|AllowedWhenUntainted|
A|C_AzeriteEssence.GetMilestoneSpell|AllowedWhenUntainted|
A|C_AzeriteEssence.SetPendingActivationEssence|AllowedWhenUntainted|
A|C_AzeriteEssence.UnlockMilestone|AllowedWhenUntainted|
A|C_AzeriteItem.GetAzeriteItemXPInfo|AllowedWhenUntainted|
A|C_AzeriteItem.GetPowerLevel|AllowedWhenUntainted|
A|C_AzeriteItem.GetUnlimitedPowerLevel|AllowedWhenUntainted|
A|C_AzeriteItem.IsAzeriteItemByID|AllowedWhenUntainted|
A|C_AzeriteItem.IsAzeriteItemEnabled|AllowedWhenUntainted|
A|C_AzeriteItem.IsAzeriteItem|AllowedWhenUntainted|
A|C_Bank.AutoDepositItemsIntoBank|AllowedWhenUntainted|
A|C_Bank.CanDepositMoney|AllowedWhenUntainted|
A|C_Bank.CanPurchaseBankTab|AllowedWhenUntainted|
A|C_Bank.CanUseBank|AllowedWhenUntainted|
A|C_Bank.CanViewBank|AllowedWhenUntainted|
A|C_Bank.CanWithdrawMoney|AllowedWhenUntainted|
A|C_Bank.DepositMoney|AllowedWhenUntainted|
A|C_Bank.DoesBankTypeSupportAutoDeposit|AllowedWhenUntainted|
A|C_Bank.DoesBankTypeSupportMoneyTransfer|AllowedWhenUntainted|
A|C_Bank.FetchBankLockedReason|AllowedWhenUntainted|
A|C_Bank.FetchDepositedMoney|AllowedWhenUntainted|
A|C_Bank.FetchNextPurchasableBankTabData|AllowedWhenUntainted|
A|C_Bank.FetchNumPurchasedBankTabs|AllowedWhenUntainted|
A|C_Bank.FetchPurchasedBankTabData|AllowedWhenUntainted|
A|C_Bank.FetchPurchasedBankTabIDs|AllowedWhenUntainted|
A|C_Bank.HasMaxBankTabs|AllowedWhenUntainted|
A|C_Bank.IsItemAllowedInBankType|AllowedWhenUntainted|
A|C_Bank.PurchaseBankTab|AllowedWhenUntainted|
A|C_Bank.UpdateBankTabSettings|AllowedWhenUntainted|
A|C_Bank.WithdrawMoney|AllowedWhenUntainted|
A|C_BarberShop.ClearPreviewChoices|AllowedWhenUntainted|
A|C_BarberShop.HasCustomizationFeature|AllowedWhenUntainted|
A|C_BarberShop.MarkCustomizationChoiceAsSeen|AllowedWhenUntainted|
A|C_BarberShop.MarkCustomizationOptionAsSeen|AllowedWhenUntainted|
A|C_BarberShop.PreviewCustomizationChoice|AllowedWhenUntainted|
A|C_BarberShop.RotateCamera|AllowedWhenUntainted|
A|C_BarberShop.SetCameraDistanceOffset|AllowedWhenUntainted|
A|C_BarberShop.SetCameraZoomLevel|AllowedWhenUntainted|
A|C_BarberShop.SetCustomizationChoice|AllowedWhenUntainted|
A|C_BarberShop.SetModelDressState|AllowedWhenUntainted|
A|C_BarberShop.SetSelectedSex|AllowedWhenUntainted|
A|C_BarberShop.SetViewingAlteredForm|AllowedWhenUntainted|
A|C_BarberShop.SetViewingChrModel|AllowedWhenUntainted|
A|C_BarberShop.SetViewingShapeshiftForm|AllowedWhenUntainted|
A|C_BarberShop.ZoomCamera|AllowedWhenUntainted|
A|C_BarberShopInternal.SetQAMode|AllowedWhenUntainted|
A|C_BattleNet.BNCheckBattleTagInviteToRecentAlly|AllowedWhenUntainted|
A|C_BattleNet.BNCheckTitleFriendInviteToUnit|AllowedWhenUntainted|
A|C_BattleNet.GetAccountInfoByGUID|AllowedWhenUntainted|
A|C_BattleNet.GetAccountInfoByID|AllowedWhenUntainted|
A|C_BattleNet.GetCustomTitleFriendName|AllowedWhenUntainted|
A|C_BattleNet.GetFriendAccountInfo|AllowedWhenUntainted|
A|C_BattleNet.GetFriendGameAccountInfo|AllowedWhenUntainted|
A|C_BattleNet.GetFriendInviteInfo|AllowedWhenUntainted|
A|C_BattleNet.GetFriendNumGameAccounts|AllowedWhenUntainted|
A|C_BattleNet.GetGameAccountInfoByGUID|AllowedWhenUntainted|
A|C_BattleNet.GetGameAccountInfoByID|AllowedWhenUntainted|
A|C_BattleNet.InviteFriend|AllowedWhenUntainted|
A|C_BattleNet.SearchFriends|AllowedWhenUntainted|
A|C_BattleNet.SendGameData|AllowedWhenUntainted|
A|C_BattleNet.SendTitleFriendInviteByName|AllowedWhenUntainted|
A|C_BattleNet.SendWhisper|AllowedWhenUntainted|
A|C_BattleNet.SetAFK|AllowedWhenUntainted|
A|C_BattleNet.SetAppearOffline|AllowedWhenUntainted|
A|C_BattleNet.SetCustomMessage|AllowedWhenUntainted|
A|C_BattleNet.SetCustomTitleFriendName|AllowedWhenUntainted|
A|C_BattleNet.SetDND|AllowedWhenUntainted|
A|C_BattleNet.SetFriendTags|AllowedWhenUntainted|
A|C_BehavioralMessaging.SendNotificationReceipt|AllowedWhenUntainted|
A|C_CVar.GetCVarBitfield|NotAllowed|
A|C_CVar.GetCVarBool|NotAllowed|
A|C_CVar.GetCVarDefault|NotAllowed|
A|C_CVar.GetCVarInfo|NotAllowed|
A|C_CVar.GetCVar|NotAllowed|
A|C_CVar.RegisterCVar|NotAllowed|
A|C_CVar.SetCVarBitfield|NotAllowed|
A|C_CVar.SetCVar|NotAllowed|
A|C_Calendar.ContextMenuEventCanComplain|AllowedWhenUntainted|
A|C_Calendar.ContextMenuEventCanEdit|AllowedWhenUntainted|
A|C_Calendar.ContextMenuEventCanRemove|AllowedWhenUntainted|
A|C_Calendar.ContextMenuEventPaste|AllowedWhenUntainted|
A|C_Calendar.ContextMenuSelectEvent|AllowedWhenUntainted|
A|C_Calendar.EventClearModerator|AllowedWhenUntainted|
A|C_Calendar.EventGetInviteResponseTime|AllowedWhenUntainted|
A|C_Calendar.EventGetInvite|AllowedWhenUntainted|
A|C_Calendar.EventGetStatusOptions|AllowedWhenUntainted|
A|C_Calendar.EventGetTextures|AllowedWhenUntainted|
A|C_Calendar.EventInvite|AllowedWhenUntainted|
A|C_Calendar.EventRemoveInviteByGuid|AllowedWhenUntainted|
A|C_Calendar.EventRemoveInvite|AllowedWhenUntainted|
